version	threads	time
CASLL	2	0.741661057
CASLL	2	0.714718779
CASLL	2	0.735256934
CASLL	2	0.72814885
CASLL	2	0.782910423
CASLL	2	0.736098266
CASLL	2	0.749565003
CASLL	2	0.739274413
CASLL	2	0.723114032
CASLL	2	0.70858988
CASLL	2	0.737993585
CASLL	2	0.726858727
CASLL	2	0.727445851
CASLL	2	0.724268234
CASLL	2	0.718815931
CASLL	2	0.756606099
CASLL	2	0.748976886
CASLL	2	0.714621474
CASLL	2	0.740871028
CASLL	2	0.720366601
CASLL	2	0.725800323
CASLL	2	0.750336898
CASLL	2	0.738125073
CASLL	2	0.75326568
CASLL	2	0.742239839
CASLL	2	0.729571904
CASLL	2	0.722910152
CASLL	2	0.707295833
CASLL	2	0.757110588
CASLL	2	0.729479992
CASLL	4	0.379008959
CASLL	4	0.392361791
CASLL	4	0.383880488
CASLL	4	0.383870711
CASLL	4	0.390203455
CASLL	4	0.387022905
CASLL	4	0.379800916
CASLL	4	0.401713758
CASLL	4	0.381050941
CASLL	4	0.385009761
CASLL	4	0.397900617
CASLL	4	0.384755062
CASLL	4	0.38241487
CASLL	4	0.388098403
CASLL	4	0.381272394
CASLL	4	0.398271174
CASLL	4	0.384007099
CASLL	4	0.408446388
CASLL	4	0.39001377
CASLL	4	0.404235801
CASLL	4	0.403153945
CASLL	4	0.403816356
CASLL	4	0.382539037
CASLL	4	0.399268941
CASLL	4	0.398231083
CASLL	4	0.378462399
CASLL	4	0.392509906
CASLL	4	0.400877302
CASLL	4	0.383758262
CASLL	4	0.390897632
CASLL	8	0.245811588
CASLL	8	0.272267441
CASLL	8	0.238512359
CASLL	8	0.219865128
CASLL	8	0.20668291
CASLL	8	0.247254225
CASLL	8	0.260313737
CASLL	8	0.259924113
CASLL	8	0.239390846
CASLL	8	0.24635618
CASLL	8	0.245256725
CASLL	8	0.244812347
CASLL	8	0.254904456
CASLL	8	0.246413866
CASLL	8	0.248990667
CASLL	8	0.250205006
CASLL	8	0.250221627
CASLL	8	0.25624052
CASLL	8	0.252126241
CASLL	8	0.253442262
CASLL	8	0.230619157
CASLL	8	0.255941334
CASLL	8	0.268752994
CASLL	8	0.24632098
CASLL	8	0.245106151
CASLL	8	0.226234534
CASLL	8	0.222846707
CASLL	8	0.245466933
CASLL	8	0.243103275
CASLL	8	0.24215879
CASLL	16	0.159065107
CASLL	16	0.145179902
CASLL	16	0.159434687
CASLL	16	0.177541722
CASLL	16	0.162947664
CASLL	16	0.153437792
CASLL	16	0.161949892
CASLL	16	0.153411394
CASLL	16	0.147975714
CASLL	16	0.127350542
CASLL	16	0.149446706
CASLL	16	0.155171303
CASLL	16	0.158610462
CASLL	16	0.156849085
CASLL	16	0.138499085
CASLL	16	0.166505615
CASLL	16	0.142060459
CASLL	16	0.162397691
CASLL	16	0.143332972
CASLL	16	0.15601606
CASLL	16	0.157711928
CASLL	16	0.158295144
CASLL	16	0.152286027
CASLL	16	0.158269722
CASLL	16	0.171664596
CASLL	16	0.169558081
CASLL	16	0.173338466
CASLL	16	0.146195269
CASLL	16	0.137432871
CASLL	16	0.152094881
CASLL	32	0.104055192
CASLL	32	0.100473775
CASLL	32	9.8254821e-2
CASLL	32	9.7434996e-2
CASLL	32	9.8609735e-2
CASLL	32	9.6273455e-2
CASLL	32	0.1124045
CASLL	32	0.124864177
CASLL	32	0.112483207
CASLL	32	0.106917491
CASLL	32	0.101405548
CASLL	32	0.126783945
CASLL	32	9.9630483e-2
CASLL	32	0.108935032
CASLL	32	9.6934398e-2
CASLL	32	9.6474865e-2
CASLL	32	9.1261131e-2
CASLL	32	0.105336503
CASLL	32	0.104383707
CASLL	32	0.100322225
CASLL	32	0.107746114
CASLL	32	0.118233713
CASLL	32	0.104493213
CASLL	32	9.4982364e-2
CASLL	32	0.113510798
CASLL	32	0.116839473
CASLL	32	0.101732597
CASLL	32	9.6685565e-2
CASLL	32	0.100871219
CASLL	32	0.116780808
CASLL	64	0.109550021
CASLL	64	0.104710268
CASLL	64	0.168968017
CASLL	64	0.100472794
CASLL	64	0.128990675
CASLL	64	0.136341722
CASLL	64	0.142387993
CASLL	64	0.124244294
CASLL	64	0.103300383
CASLL	64	0.121479768
CASLL	64	0.145205314
CASLL	64	0.121121919
CASLL	64	0.117310735
CASLL	64	0.106973217
CASLL	64	0.131478991
CASLL	64	0.143323187
CASLL	64	0.107162407
CASLL	64	0.133450579
CASLL	64	9.2928644e-2
CASLL	64	0.129276659
CASLL	64	0.141438127
CASLL	64	0.115301014
CASLL	64	0.114001614
CASLL	64	0.131925323
CASLL	64	0.115023829
CASLL	64	0.111204334
CASLL	64	0.118932296
CASLL	64	0.115193953
CASLL	64	9.4378613e-2
CASLL	64	0.112148819
OTAFairLL	2	3.563380348
OTAFairLL	2	3.441317346
OTAFairLL	2	3.606374909
OTAFairLL	2	3.551868507
OTAFairLL	2	3.38969862
OTAFairLL	2	3.538080543
OTAFairLL	2	3.607631194
OTAFairLL	2	3.604417867
OTAFairLL	2	3.601255871
OTAFairLL	2	3.640347364
OTAFairLL	2	3.547122941
OTAFairLL	2	3.522181081
OTAFairLL	2	3.653603817
OTAFairLL	2	3.562567552
OTAFairLL	2	3.581970539
OTAFairLL	2	3.539784494
OTAFairLL	2	3.54386453
OTAFairLL	2	3.583622833
OTAFairLL	2	3.586704121
OTAFairLL	2	3.554419037
OTAFairLL	2	3.652243617
OTAFairLL	2	3.578474031
OTAFairLL	2	3.517213986
OTAFairLL	2	3.591742244
OTAFairLL	2	3.521304269
OTAFairLL	2	3.356414367
OTAFairLL	2	3.562667003
OTAFairLL	2	3.57373584
OTAFairLL	2	3.537050984
OTAFairLL	2	3.451236776
OTAFairLL	4	3.929517714
OTAFairLL	4	3.981524007
OTAFairLL	4	3.933451065
OTAFairLL	4	3.968576399
OTAFairLL	4	3.991559333
OTAFairLL	4	3.988659368
OTAFairLL	4	3.969471438
OTAFairLL	4	3.984066934
OTAFairLL	4	4.087857596
OTAFairLL	4	3.960166822
OTAFairLL	4	3.914635487
OTAFairLL	4	3.98803055
OTAFairLL	4	4.010352051
OTAFairLL	4	4.051500675
OTAFairLL	4	3.941415849
OTAFairLL	4	3.949750467
OTAFairLL	4	3.905032115
OTAFairLL	4	4.034409418
OTAFairLL	4	4.013693791
OTAFairLL	4	3.992628138
OTAFairLL	4	4.002494856
OTAFairLL	4	3.948147354
OTAFairLL	4	3.980191869
OTAFairLL	4	3.957762288
OTAFairLL	4	3.93475047
OTAFairLL	4	3.918584213
OTAFairLL	4	4.054596371
OTAFairLL	4	4.023959745
OTAFairLL	4	3.720738038
OTAFairLL	4	3.919011402
OTAFairLL	8	4.285261788
OTAFairLL	8	4.380092543
OTAFairLL	8	4.445697552
OTAFairLL	8	4.342295504
OTAFairLL	8	4.460259292
OTAFairLL	8	4.500157397
OTAFairLL	8	4.335448898
OTAFairLL	8	4.40787209
OTAFairLL	8	4.449901643
OTAFairLL	8	4.409270686
OTAFairLL	8	4.443783957
OTAFairLL	8	4.423948287
OTAFairLL	8	4.384194353
OTAFairLL	8	4.395727117
OTAFairLL	8	4.40951061
OTAFairLL	8	4.422884435
OTAFairLL	8	4.519123112
OTAFairLL	8	4.404171177
OTAFairLL	8	4.412880753
OTAFairLL	8	4.477284133
OTAFairLL	8	4.372551898
OTAFairLL	8	4.414136095
OTAFairLL	8	4.352504045
OTAFairLL	8	4.310903188
OTAFairLL	8	4.487105306
OTAFairLL	8	4.49702971
OTAFairLL	8	4.395842717
OTAFairLL	8	4.39691331
OTAFairLL	8	4.483401108
OTAFairLL	8	4.468683358
OTAFairLL	16	4.982646312
OTAFairLL	16	5.017531605
OTAFairLL	16	4.833541851
OTAFairLL	16	4.926928001
OTAFairLL	16	4.886823066
OTAFairLL	16	4.936607947
OTAFairLL	16	5.118446652
OTAFairLL	16	4.927332692
OTAFairLL	16	4.870921709
OTAFairLL	16	4.929411787
OTAFairLL	16	4.850687599
OTAFairLL	16	5.049676129
OTAFairLL	16	4.907697377
OTAFairLL	16	4.972298252
OTAFairLL	16	4.93586273
OTAFairLL	16	4.899117759
OTAFairLL	16	4.978968737
OTAFairLL	16	4.582304714
OTAFairLL	16	4.97640852
OTAFairLL	16	4.802435112
OTAFairLL	16	4.950815978
OTAFairLL	16	5.104102591
OTAFairLL	16	4.970222362
OTAFairLL	16	5.006106893
OTAFairLL	16	5.07110179
