version	threads	time
IDOTA	2	0.964006108
IDOTA	2	0.906874673
IDOTA	2	0.930918413
IDOTA	2	1.090719836
IDOTA	2	1.084331869
IDOTA	2	0.973036881
IDOTA	2	0.926362709
IDOTA	2	0.916443196
IDOTA	2	1.140174185
IDOTA	2	1.001668605
IDOTA	2	0.946215435
IDOTA	2	1.040500448
IDOTA	2	1.1552693
IDOTA	2	0.943456299
IDOTA	2	0.956660485
IDOTA	2	0.906033368
IDOTA	2	0.932040869
IDOTA	2	0.942333878
IDOTA	2	1.170330688
IDOTA	2	0.920626418
IDOTA	2	0.875577224
IDOTA	2	1.075164263
IDOTA	4	1.568043563
IDOTA	4	1.510404688
IDOTA	4	1.491331711
IDOTA	4	1.501863286
IDOTA	4	1.549655497
IDOTA	4	1.564288143
IDOTA	4	1.500632833
IDOTA	4	1.506597941
IDOTA	4	1.604129499
IDOTA	4	1.45884632
IDOTA	4	1.565998209
IDOTA	4	1.490148704
IDOTA	4	1.485136397
IDOTA	4	1.450633442
IDOTA	4	1.576919912
IDOTA	4	1.556439009
IDOTA	4	1.452500422
IDOTA	4	1.464146605
IDOTA	4	1.457572382
IDOTA	4	1.463660196
IDOTA	4	1.454687122
IDOTA	4	1.591509077
IDOTA	4	1.451618538
IDOTA	4	1.568707058
IDOTA	4	1.508130113
IDOTA	4	1.434743006
IDOTA	4	1.574651644
IDOTA	4	1.484836789
IDOTA	4	1.502833791
IDOTA	4	1.628798105
IDOTA	8	2.355241454
IDOTA	8	2.286623697
IDOTA	8	2.325473148
IDOTA	8	2.403586598
IDOTA	8	2.285047144
IDOTA	8	2.482255896
IDOTA	8	2.343594847
IDOTA	8	2.490460993
IDOTA	8	2.439418832
IDOTA	8	2.418842604
IDOTA	8	2.449515828
IDOTA	8	2.34496078
IDOTA	8	2.433614117
IDOTA	8	2.371659558
IDOTA	8	2.351703207
IDOTA	8	2.42966218
IDOTA	8	2.200467141
IDOTA	8	2.385800933
IDOTA	8	2.48789409
IDOTA	8	2.239082447
IDOTA	8	2.293906472
IDOTA	8	2.356733674
IDOTA	8	2.23224817
IDOTA	8	2.471121254
IDOTA	8	2.23488267
IDOTA	8	2.37881907
IDOTA	8	2.430195148
IDOTA	8	2.417074566
IDOTA	8	2.374084949
IDOTA	8	2.520237368
IDOTA	16	4.148727716
IDOTA	16	4.271003113
IDOTA	16	4.317249574
IDOTA	16	4.182869987
IDOTA	16	4.451863414
IDOTA	16	4.17943285
IDOTA	16	4.373720692
IDOTA	16	4.062268593
IDOTA	16	4.206235818
IDOTA	16	4.139767597
IDOTA	16	4.278128055
IDOTA	16	4.162780872
IDOTA	16	4.091398596
IDOTA	16	4.29924897
IDOTA	16	4.49941491
IDOTA	16	4.222669621
IDOTA	16	3.992628826
IDOTA	16	4.094375897
IDOTA	16	4.362694713
IDOTA	16	4.396287935
IDOTA	16	4.055404792
IDOTA	16	4.352144638
IDOTA	16	4.089811015
IDOTA	16	4.203408127
IDOTA	16	4.326127913
IDOTA	16	4.306132465
IDOTA	16	4.16346516
IDOTA	16	4.180149098
IDOTA	16	4.089811152
IDOTA	16	4.181042296
IDOTA	32	7.660825842
IDOTA	32	7.96485715
IDOTA	32	7.653097556
IDOTA	32	7.808334611
IDOTA	32	7.742381196
IDOTA	32	7.742288872
IDOTA	32	7.940226647
IDOTA	32	7.60527146
IDOTA	32	7.789885761
IDOTA	32	7.525686154
IDOTA	32	7.871592507
IDOTA	32	7.499308208
IDOTA	32	7.91765869
IDOTA	32	7.695786303
IDOTA	32	7.446467181
IDOTA	32	7.782385091
IDOTA	32	7.695691153
IDOTA	32	7.531787646
IDOTA	32	7.361093338
IDOTA	32	7.764047091
IDOTA	32	7.516920505
IDOTA	32	7.735010201
IDOTA	32	7.72558302
IDOTA	32	7.882281782
IDOTA	32	7.420547713
IDOTA	32	7.851990464
IDOTA	32	7.654899493
IDOTA	32	7.987883267
IDOTA	32	7.77811705
IDOTA	32	7.167532454
IDOTA	64	10.166384554
IDOTA	64	10.204445563
IDOTA	64	10.389948667
IDOTA	64	10.050637654
IDOTA	64	10.009393815
IDOTA	64	9.804460019
IDOTA	64	10.008597112
IDOTA	64	10.039837493
IDOTA	64	10.383822203
IDOTA	64	9.84330194
IDOTA	64	10.078826004
IDOTA	64	10.005426689
IDOTA	64	10.265081041
IDOTA	64	9.829107077
IDOTA	64	10.341881573
