version	threads	time
OTASet	8	0.331275348
OTASet	8	0.347646871
OTASet	8	0.326367657
OTASet	8	0.349012756
OTASet	8	0.356927444
OTASet	16	0.208675437
OTASet	16	0.20257003
OTASet	16	0.207046548
OTASet	16	0.198279774
OTASet	16	0.207019662
OTASet	16	0.232421945
OTASet	16	0.206462848
OTASet	16	0.216627282
OTASet	16	0.176256512
OTASet	16	0.220842746
OTASet	16	0.204715166
OTASet	16	0.214512464
OTASet	16	0.20710424
OTASet	16	0.207562794
OTASet	16	0.205958835
OTASet	16	0.210813732
OTASet	16	0.213750331
OTASet	16	0.207889846
OTASet	16	0.207758831
OTASet	16	0.196834216
OTASet	16	0.203333158
OTASet	16	0.216471833
OTASet	16	0.189278356
OTASet	16	0.202282105
OTASet	16	0.207367256
OTASet	16	0.19277617
OTASet	16	0.215578684
OTASet	16	0.212333613
OTASet	16	0.161182441
OTASet	16	0.214325731
OTASet	32	0.149094333
OTASet	32	0.16164344
OTASet	32	0.143348241
OTASet	32	0.14514188
OTASet	32	0.143882081
OTASet	32	0.148661693
OTASet	32	0.149905359
OTASet	32	0.144917983
OTASet	32	0.146390926
OTASet	32	0.141134674
OTASet	32	0.145729496
OTASet	32	0.146149919
OTASet	32	0.147751923
OTASet	32	0.150748163
OTASet	32	0.147181909
OTASet	32	0.144149494
OTASet	32	0.149438012
OTASet	32	0.148231988
OTASet	32	0.143205013
OTASet	32	0.145087135
OTASet	32	0.145686481
OTASet	32	0.146256007
OTASet	32	0.141624033
OTASet	32	0.14528806
OTASet	32	0.149179407
OTASet	32	0.147736774
OTASet	32	0.142596383
OTASet	32	0.144517614
OTASet	32	0.146382137
OTASet	32	0.148306301
OTASet	64	0.135944429
OTASet	64	0.175211844
OTASet	64	0.168067604
OTASet	64	0.17243266
OTASet	64	0.216779849
OTASet	64	0.158504473
OTASet	64	0.155012037
OTASet	64	0.158081608
OTASet	64	0.149280611
OTASet	64	0.146589911
OTASet	64	0.175829774
OTASet	64	0.155226163
OTASet	64	0.15649574
OTASet	64	0.147373072
OTASet	64	0.147918154
OTASet	64	0.199220886
OTASet	64	0.140379403
OTASet	64	0.150184036
OTASet	64	0.143457285
OTASet	64	0.157429963
OTASet	64	0.162778122
OTASet	64	0.157976024
OTASet	64	0.154598471
OTASet	64	0.145677214
OTASet	64	0.162325927
OTASet	64	0.145333544
OTASet	64	0.147528539
OTASet	64	0.138263611
OTASet	64	0.203156244
OTASet	64	0.158463425
STMSet	2	4.981703621
STMSet	2	4.919603439
STMSet	2	4.996956763
STMSet	2	4.968590072
STMSet	2	5.028706094
STMSet	2	5.036756754
STMSet	2	4.999903888
STMSet	2	5.052054868
STMSet	2	4.988780916
STMSet	2	4.964661459
STMSet	2	4.995685247
STMSet	2	4.950818935
STMSet	2	5.042101434
STMSet	2	5.022852027
STMSet	2	4.977468004
STMSet	2	4.932596798
STMSet	2	5.040221009
STMSet	2	5.037091853
STMSet	2	4.95796846
STMSet	2	4.98868524
STMSet	2	4.959714296
STMSet	2	5.075254668
STMSet	2	4.9909591
STMSet	2	5.018812609
STMSet	2	5.011467982
STMSet	2	5.060490725
STMSet	2	5.092975233
STMSet	2	4.990441646
STMSet	2	5.010395615
STMSet	2	4.968414063
STMSet	4	3.537468537
STMSet	4	3.443469003
STMSet	4	3.461227954
STMSet	4	3.444100663
STMSet	4	3.471170987
STMSet	4	3.489471599
STMSet	4	3.434752694
STMSet	4	3.430303085
STMSet	4	3.455491776
STMSet	4	3.574101708
STMSet	4	3.409292308
STMSet	4	3.421767627
STMSet	4	3.467891389
STMSet	4	3.440733112
STMSet	4	3.407195661
STMSet	4	3.591678427
STMSet	4	3.470807055
STMSet	4	3.519813156
STMSet	4	3.463521082
STMSet	4	3.501845035
STMSet	4	3.464087716
STMSet	4	3.412032617
STMSet	4	3.512628439
STMSet	4	3.467005311
STMSet	4	3.472252788
STMSet	4	3.498470047
STMSet	4	3.480589898
STMSet	4	3.447000133
STMSet	4	3.494743012
STMSet	4	3.477037387
STMSet	8	2.666291668
STMSet	8	2.607460426
STMSet	8	2.718786302
STMSet	8	2.532189217
STMSet	8	2.656390281
STMSet	8	2.577430588
STMSet	8	2.599401574
STMSet	8	2.644624846
STMSet	8	2.631338535
STMSet	8	2.61755505
STMSet	8	2.594878167
STMSet	8	2.67076098
STMSet	8	2.604215963
STMSet	8	2.567311207
STMSet	8	2.706164969
STMSet	8	2.628562846
STMSet	8	2.596277356
STMSet	8	2.724675805
STMSet	8	2.773865226
STMSet	8	2.608704289
STMSet	8	2.634766571
STMSet	8	2.707262542
STMSet	8	2.557069614
STMSet	8	2.616901585
STMSet	8	2.680451361
STMSet	8	2.651932561
STMSet	8	2.758271063
STMSet	8	2.71097454
STMSet	8	2.707673746
STMSet	8	2.737802882
STMSet	16	2.139023239
STMSet	16	2.157049097
STMSet	16	2.186370139
STMSet	16	2.126136337
STMSet	16	2.097222042
STMSet	16	2.198730088
STMSet	16	2.140976776
STMSet	16	2.207198188
STMSet	16	2.062641353
STMSet	16	2.168409842
STMSet	16	2.078031756
STMSet	16	2.145658162
STMSet	16	2.044413136
STMSet	16	2.176008756
STMSet	16	2.209655749
STMSet	16	2.20761964
STMSet	16	2.162089863
STMSet	16	2.131927009
STMSet	16	2.248796118
STMSet	16	2.251654996
STMSet	16	2.213823834
STMSet	16	2.021570566
STMSet	16	2.188261679
STMSet	16	2.238981242
STMSet	16	2.192119799
STMSet	16	2.211683622
STMSet	16	2.107658426
STMSet	16	2.204977408
STMSet	16	2.116480462
STMSet	16	2.053654212
STMSet	32	2.119940647
STMSet	32	2.029264349
STMSet	32	2.05341273
STMSet	32	2.183130634
STMSet	32	2.03365289
STMSet	32	2.106362499
STMSet	32	1.977602287
STMSet	32	2.029566008
