version	threads	time
OTASet	2	1.014486628
OTASet	2	1.008487787
OTASet	2	1.021692473
OTASet	2	1.016618074
OTASet	2	1.0169857
OTASet	2	1.026790831
OTASet	2	1.022948855
OTASet	2	1.03557815
OTASet	2	1.024918487
OTASet	2	1.04048145
OTASet	2	1.02889197
OTASet	2	1.038653103
OTASet	2	1.031305978
OTASet	2	1.03469429
OTASet	2	1.019844091
OTASet	2	1.026169983
OTASet	2	0.997843778
OTASet	2	1.018061697
OTASet	2	1.046361994
OTASet	2	1.028372315
OTASet	2	1.016919715
OTASet	2	1.032397128
OTASet	2	1.008609529
OTASet	2	1.030027608
OTASet	2	1.02576961
OTASet	2	1.039118511
OTASet	2	1.024365107
OTASet	2	1.032408376
OTASet	2	1.021975545
OTASet	2	1.015836889
OTASet	4	0.538078132
OTASet	4	0.539770088
OTASet	4	0.538739076
OTASet	4	0.545146607
OTASet	4	0.545168607
OTASet	4	0.536307471
OTASet	4	0.529397877
OTASet	4	0.535436805
OTASet	4	0.546347257
OTASet	4	0.543571492
OTASet	4	0.538509801
OTASet	4	0.544202615
OTASet	4	0.547562572
OTASet	4	0.525758781
OTASet	4	0.538869117
OTASet	4	0.531627096
OTASet	4	0.540818215
OTASet	4	0.534015683
OTASet	4	0.528569257
OTASet	4	0.555326701
OTASet	4	0.538606599
OTASet	4	0.527706414
OTASet	4	0.541863895
OTASet	4	0.536016601
OTASet	4	0.53832697
OTASet	4	0.53774229
OTASet	4	0.527974313
OTASet	4	0.531839266
OTASet	4	0.538020943
OTASet	4	0.544098003
OTASet	8	0.322478672
OTASet	8	0.338652714
OTASet	8	0.339154288
OTASet	8	0.329056817
OTASet	8	0.365034711
OTASet	8	0.33553279
OTASet	8	0.342834941
OTASet	8	0.350507162
OTASet	8	0.315939149
OTASet	8	0.331779786
OTASet	8	0.316103897
OTASet	8	0.3294044
OTASet	8	0.328945357
OTASet	8	0.330572295
OTASet	8	0.329745138
OTASet	8	0.324934723
OTASet	8	0.336458209
OTASet	8	0.330638292
OTASet	8	0.353989825
OTASet	8	0.313576963
OTASet	8	0.36799087
OTASet	8	0.35041428
OTASet	8	0.335975702
OTASet	8	0.34012224
OTASet	8	0.332059907
OTASet	8	0.357196281
OTASet	8	0.351594885
OTASet	8	0.343268566
OTASet	8	0.33884093
OTASet	8	0.343732496
OTASet	16	0.205448224
OTASet	16	0.193772213
OTASet	16	0.210805189
OTASet	16	0.211234411
OTASet	16	0.211504263
OTASet	16	0.213902626
OTASet	16	0.199650794
OTASet	16	0.20690357
OTASet	16	0.204112162
OTASet	16	0.211726207
OTASet	16	0.207081028
OTASet	16	0.211645545
OTASet	16	0.215476766
OTASet	16	0.208646858
OTASet	16	0.211555106
OTASet	16	0.202879738
OTASet	16	0.211220723
OTASet	16	0.208905467
OTASet	16	0.212124631
OTASet	16	0.211904155
OTASet	16	0.207301995
OTASet	16	0.207874943
OTASet	16	0.214466287
OTASet	16	0.211784383
OTASet	16	0.20959232
OTASet	16	0.204880167
OTASet	16	0.193616756
OTASet	16	0.20966125
OTASet	16	0.201914233
OTASet	16	0.207578204
OTASet	32	0.151051428
OTASet	32	0.151531981
OTASet	32	0.150629051
OTASet	32	0.142576005
OTASet	32	0.156677757
OTASet	32	0.15367027
OTASet	32	0.152444201
OTASet	32	0.149803361
OTASet	32	0.15043644
OTASet	32	0.151618022
OTASet	32	0.15265099
OTASet	32	0.142705067
OTASet	32	0.152567883
OTASet	32	0.143544444
OTASet	32	0.148329927
OTASet	32	0.146922001
OTASet	32	0.146584685
OTASet	32	0.145823525
OTASet	32	0.157234572
OTASet	32	0.142992518
OTASet	32	0.155816869
OTASet	32	0.141798714
OTASet	32	0.158682097
OTASet	32	0.148802658
OTASet	32	0.147601522
OTASet	32	0.141870577
OTASet	32	0.152474511
OTASet	32	0.145502832
OTASet	32	0.148784082
OTASet	32	0.157534247
OTASet	64	0.136794709
OTASet	64	0.151521717
OTASet	64	0.158730495
OTASet	64	0.141986439
OTASet	64	0.138396716
OTASet	64	0.15153345
OTASet	64	0.169324164
OTASet	64	0.149295923
OTASet	64	0.136551256
OTASet	64	0.13958612
OTASet	64	0.147183056
OTASet	64	0.148808526
OTASet	64	0.150321558
OTASet	64	0.123638421
OTASet	64	0.155525509
OTASet	64	0.12893721
OTASet	64	0.14165499
OTASet	64	0.145194849
OTASet	64	0.129170888
OTASet	64	0.136299982
OTASet	64	0.140705618
OTASet	64	0.140168846
OTASet	64	0.125384153
OTASet	64	0.121210726
OTASet	64	0.120293131
OTASet	64	0.148053234
OTASet	64	0.132794343
OTASet	64	0.132721992
OTASet	64	0.129883162
OTASet	64	0.125402242
STMSet	2	5.210043243
STMSet	2	5.066287615
STMSet	2	5.061200511
STMSet	2	5.150385811
STMSet	2	5.074409614
STMSet	2	5.149982514
STMSet	2	5.13441027
STMSet	2	5.188950804
STMSet	2	5.167135775
STMSet	2	5.118496815
STMSet	2	5.01718723
STMSet	2	5.053151446
STMSet	2	5.159683083
STMSet	2	5.115905379
STMSet	2	5.091644077
STMSet	2	5.126415466
STMSet	2	5.091727198
STMSet	2	5.022131643
STMSet	2	5.138849237
STMSet	2	5.053972791
STMSet	2	5.045181569
STMSet	2	5.103130946
STMSet	2	5.127416217
STMSet	2	5.083509451
STMSet	2	5.078446299
STMSet	2	5.078705403
STMSet	2	5.099273357
STMSet	2	5.160316751
STMSet	2	5.006657231
STMSet	2	5.095215809
STMSet	4	3.934972493
STMSet	4	3.811578989
STMSet	4	3.933356807
STMSet	4	3.959051467
STMSet	4	3.93520325
STMSet	4	3.910563564
STMSet	4	3.949588551
STMSet	4	3.970185344
STMSet	4	3.968312023
STMSet	4	3.941788745
STMSet	4	3.975831237
STMSet	4	3.901752311
STMSet	4	3.944703359
STMSet	4	3.86862547
STMSet	4	3.935093778
STMSet	4	3.965263983
STMSet	4	3.958282529
STMSet	4	3.890351059
STMSet	4	3.93521454
STMSet	4	3.958719093
STMSet	4	3.93980204
STMSet	4	3.945125276
STMSet	4	3.906643912
STMSet	4	3.931710382
STMSet	4	4.029091965
STMSet	4	3.907037944
STMSet	4	3.925043272
STMSet	4	3.931910828
STMSet	4	3.943958868
STMSet	4	3.903735682
STMSet	8	3.292458016
STMSet	8	3.270201047
STMSet	8	3.269424245
STMSet	8	3.40740544
STMSet	8	3.431592445
STMSet	8	3.348832281
STMSet	8	3.412613796
STMSet	8	3.374316242
STMSet	8	3.303241868
STMSet	8	3.359203525
STMSet	8	3.392106475
STMSet	8	3.369563521
STMSet	8	3.372832063
STMSet	8	3.373389858
STMSet	8	3.31933135
STMSet	8	3.299649224
STMSet	8	3.40387636
STMSet	8	3.463534313
STMSet	8	3.353930172
STMSet	8	3.292949848
STMSet	8	3.382234386
STMSet	8	3.281936737
STMSet	8	3.267346612
STMSet	8	3.363948946
STMSet	8	3.350415255
STMSet	8	3.346445197
STMSet	8	3.303175414
STMSet	8	3.420850692
STMSet	8	3.3503082
STMSet	8	3.426627105
STMSet	16	3.054758526
STMSet	16	3.211495942
STMSet	16	3.050552836
STMSet	16	3.11306184
STMSet	16	3.206020677
STMSet	16	3.167492867
STMSet	16	3.09203632
STMSet	16	3.063522388
STMSet	16	3.089054745
STMSet	16	3.211005623
STMSet	16	3.030425853
STMSet	16	3.096398944
STMSet	16	3.167870768
STMSet	16	3.159843633
STMSet	16	3.099618113
STMSet	16	3.020700412
STMSet	16	3.174567712
STMSet	16	3.091138292
STMSet	16	3.259966767
STMSet	16	3.048817881
STMSet	16	3.082077702
STMSet	16	3.177331752
STMSet	16	3.099016819
STMSet	16	3.118096669
STMSet	16	3.112044053
STMSet	16	3.220533101
STMSet	16	3.101932894
STMSet	16	3.10053719
STMSet	16	3.156562399
STMSet	16	3.070616311
STMSet	32	3.129499414
STMSet	32	3.056793212
STMSet	32	3.016043518
STMSet	32	3.140614216
STMSet	32	3.203216104
STMSet	32	3.075218476
STMSet	32	3.226005939
STMSet	32	3.036150473
STMSet	32	3.152248191
STMSet	32	3.147041309
STMSet	32	3.124049576
STMSet	32	3.230247322
STMSet	32	3.094030435
STMSet	32	3.081603529
STMSet	32	3.075438962
STMSet	32	3.21993622
STMSet	32	3.117183648
STMSet	32	2.891518438
STMSet	32	3.132468717
STMSet	32	3.125043893
STMSet	32	3.180696071
STMSet	32	3.192111044
STMSet	32	3.268471944
STMSet	32	3.165854266
STMSet	32	3.112377574
STMSet	32	3.210001079
STMSet	32	3.068540792
STMSet	32	2.989814816
STMSet	32	3.006828245
STMSet	32	3.138162761
STMSet	64	3.64817834
STMSet	64	3.613768774
STMSet	64	3.709518478
STMSet	64	3.620249687
STMSet	64	3.660867384
STMSet	64	3.638590416
STMSet	64	3.558899914
STMSet	64	3.800636814
STMSet	64	3.648606324
STMSet	64	3.671332613
STMSet	64	3.589227613
STMSet	64	3.642760092
STMSet	64	3.644514159
STMSet	64	3.837541738
STMSet	64	3.64834543
STMSet	64	3.632497985
STMSet	64	3.550787981
STMSet	64	3.691832803
STMSet	64	3.538169985
STMSet	64	3.707250126
STMSet	64	3.738335972
STMSet	64	3.550337367
STMSet	64	3.486827238
STMSet	64	3.560258886
STMSet	64	3.64547849
STMSet	64	3.687929911
STMSet	64	3.612041281
STMSet	64	3.591003571
STMSet	64	3.614199166
STMSet	64	3.665102052
